brand,series,shade,productType,productTypeLabel,colorLine,colorTechnology,shadeSystem,level,levelName,reflectCode,meaning,developerPercent,developerVolume,colorFamily,confidence,grams,rows,customers
L'OREAL PROFESSIONNEL,BS DEVELOPERS,OIL 9%   30 Vol.,developer_oxidant,Developer / oxidant / cream peroxide,BS DEVELOPERS,Unknown / supporting product,,,,,"Stronger developer for highlights, balayage, and 2-3 levels of lift",9,30,,high,16995,172,3
OLAPLEX,OLAPLEX,NO.1,bond_builder,Bond builder / color support,OLAPLEX,Unknown / supporting product,,,,,Bond-building additive used to support lightening or color services,,,,high,16593,2057,1
MK PROFESSIONAL,MAJESTIC,BIOTIN THERAPY,treatment_care,Treatment / care product,MAJESTIC,Unknown / supporting product,,,,,"Care, treatment, smoothing, repair, or support product rather than a hair color shade",,,,high,15581,157,1
L'OREAL PROFESSIONNEL,MAJIREL,6,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,6,Dark blonde,0,Dark blonde natural shade,,,Brown / dark blonde,high,15571,430,4
L'OREAL PROFESSIONNEL,NEW INOA,5.0 F,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,5,Light brown,0,Light brown natural shade,,,Brown / dark blonde,high,15437,345,3
L'OREAL PROFESSIONNEL,NEW INOA,6.8,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,6,Dark blonde,8,Dark blonde with Mocha reflect,,,Brown / dark blonde,high,15225,482,2
TO DEL.,L'OREAL PROFESSIONNEL,"6,0",hair_color_shade,Hair color shade,L'OREAL PROFESSIONNEL,Unknown / supporting product,L'Oréal / international dot system,6,Dark blonde,0,Dark blonde natural shade,,,Brown / dark blonde,high,14911.5,381,3
L'OREAL PROFESSIONNEL,OXYDANT DEVELOPERS,12%   40 Vol.,developer_oxidant,Developer / oxidant / cream peroxide,OXYDANT DEVELOPERS,Unknown / supporting product,,,,,Maximum standard developer for high lift / bleach work,12,40,,high,14585.5,176,4
L'OREAL PROFESSIONNEL,NEW INOA,7.18,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,7,Blonde,18,Blonde with Ash / blue + Mocha reflect,,,Brown / dark blonde,high,14476,405,1
L'OREAL PROFESSIONNEL,NEW INOA,7,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,7,Blonde,0,Blonde natural shade,,,Brown / dark blonde,high,14282.5,453,4
L'OREAL PROFESSIONNEL,NEW INOA,8.11,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,8,Light blonde,11,Light blonde with Ash / blue + Ash / blue reflect,,,Blonde,high,14117.5,450,5
L'OREAL PROFESSIONNEL,DIA LIGHT,9.13,hair_color_shade,Hair color shade,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,L'Oréal / international dot system,9,Very light blonde,13,Very light blonde with Ash / blue + Gold reflect,,,Blonde,high,14024,392,6
L'OREAL PROFESSIONNEL,NEW INOA,6.11,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,6,Dark blonde,11,Dark blonde with Ash / blue + Ash / blue reflect,,,Brown / dark blonde,high,13852,425,4
L'OREAL PROFESSIONNEL,BLOND STUDIO BLEACH,8 BONDER IN,bond_builder,Bond builder / lightening support,Lightener / bleach,Lightening product,,,,,Bond-building or protective additive used with lightening/color services,,,,high,13823,203,5
L'OREAL PROFESSIONNEL,COOL COVER,CC8.11,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,8,Light blonde,11,Light blonde with Ash / blue + Ash / blue reflect,,,Blonde,high,13174.5,517,6
L'OREAL PROFESSIONNEL,NEW INOA,6.1,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,6,Dark blonde,1,Dark blonde with Ash / blue reflect,,,Brown / dark blonde,high,12891,457,4
L'OREAL PROFESSIONNEL,NEW INOA,6.0,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,6,Dark blonde,0,Dark blonde natural shade,,,Brown / dark blonde,high,11756.5,283,1
L'OREAL PROFESSIONNEL,DIA COLOR,6.1,hair_color_shade,Hair color shade,L'Oréal Dia Color / Dia Richesse,Demi-permanent alkaline color,L'Oréal / international dot system,6,Dark blonde,1,Dark blonde with Ash / blue reflect,,,Brown / dark blonde,high,11443.5,380,5
L'OREAL PROFESSIONNEL,DIA COLOR,5,hair_color_shade,Hair color shade,L'Oréal Dia Color / Dia Richesse,Demi-permanent alkaline color,L'Oréal / international dot system,5,Light brown,0,Light brown natural shade,,,Brown / dark blonde,high,11422.5,386,6
L'OREAL PROFESSIONNEL,MAJIREL,900S,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,9,Very light blonde,00,Very light blonde with Natural + Natural reflect,,,Blonde,high,11363.5,306,2
JUL,PRO JUL,HIGH LIFT 9,lightener_bleach,Lightener / bleach,PRO JUL,Unknown / supporting product,,,,,"Lightening product used for blonding, highlights, balayage, or decolorizing",,,,high,10438.5,219,1
L'OREAL PROFESSIONNEL,INOA DEVELOPERS,9%   30 Vol.,developer_oxidant,Developer / oxidant / cream peroxide,L'Oréal INOA,Permanent oil-based color,,,,,"Stronger developer for highlights, balayage, and 2-3 levels of lift",9,30,,high,10301,188,5
L'OREAL PROFESSIONNEL,COOL COVER,CC6,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,6,Dark blonde,0,Dark blonde natural shade,,,Brown / dark blonde,high,9882.5,245,4
L'OREAL PROFESSIONNEL,DIA LIGHT,GLOSS CLEAR 250ml,mixer_corrector,Mixer / corrector / clear,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,,,,,"Direct tone, corrective additive, clear, or mixer used to adjust a formula",,,,medium,9503,467,3
L'OREAL PROFESSIONNEL,DIA LIGHT,7.8,hair_color_shade,Hair color shade,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,L'Oréal / international dot system,7,Blonde,8,Blonde with Mocha reflect,,,Brown / dark blonde,high,9416.5,338,4
L'OREAL PROFESSIONNEL,NEW INOA,8,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,8,Light blonde,0,Light blonde natural shade,,,Blonde,high,9321,299,4
L'OREAL PROFESSIONNEL,MAJIREL,8.0,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,8,Light blonde,0,Light blonde natural shade,,,Blonde,high,9309.5,237,3
L'OREAL PROFESSIONNEL,MAJIREL,5,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,5,Light brown,0,Light brown natural shade,,,Brown / dark blonde,high,9198,243,5
L'OREAL PROFESSIONNEL,LUO COLOR DEVELOPERS,7.5%   25 Vol.,developer_oxidant,Developer / oxidant / cream peroxide,L'Oréal Luo Color,Permanent / light-reflective color,,,,,Oxidant / developer used to activate color or lightener,7.5,25,,high,9054,78,2
L'OREAL PROFESSIONNEL,COOL COVER,CC7.17,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,7,Blonde,17,Blonde with Ash / blue + Green / matte reflect,,,Brown / dark blonde,high,8776.5,504,4
L'OREAL PROFESSIONNEL,COOL COVER,CC7.11,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,7,Blonde,11,Blonde with Ash / blue + Ash / blue reflect,,,Brown / dark blonde,high,8449.5,357,6
L'OREAL PROFESSIONNEL,MAJIREL,HL ASH+,lightener_bleach,Lightener / bleach,L'Oréal Majirel,Permanent oxidative color,,,,,"Lightening product used for blonding, highlights, balayage, or decolorizing",,,,high,8163.5,205,5
L'OREAL PROFESSIONNEL,NEW INOA,9.0 F,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,9,Very light blonde,0,Very light blonde natural shade,,,Blonde,high,8094.5,164,2
L'OREAL PROFESSIONNEL,BLOND STUDIO BLEACH,Purple Lightening Balm,lightener_bleach,Lightener / bleach,Lightener / bleach,Lightening product,,,,,"Lightening product used for blonding, highlights, balayage, or decolorizing",,,,high,7985.5,96,3
L'OREAL PROFESSIONNEL,NEW INOA,8.13,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,8,Light blonde,13,Light blonde with Ash / blue + Gold reflect,,,Blonde,high,7968,238,4
L'OREAL PROFESSIONNEL,DIA LIGHT,7.18,hair_color_shade,Hair color shade,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,L'Oréal / international dot system,7,Blonde,18,Blonde with Ash / blue + Mocha reflect,,,Brown / dark blonde,high,7783.5,275,6
L'OREAL PROFESSIONNEL,MAJIREL,7,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,7,Blonde,0,Blonde natural shade,,,Brown / dark blonde,high,7695,238,4
L'OREAL PROFESSIONNEL,MAJIREL FUNDA,901 s,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,9,Very light blonde,01,Very light blonde with Natural + Ash / blue reflect,,,Blonde,high,7690.5,155,3
L'OREAL PROFESSIONNEL,NEW INOA,7.0,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,7,Blonde,0,Blonde natural shade,,,Brown / dark blonde,high,7640,201,2
TO DEL.,L'OREAL PROFESSIONNEL,"7,0",hair_color_shade,Hair color shade,L'OREAL PROFESSIONNEL,Unknown / supporting product,L'Oréal / international dot system,7,Blonde,0,Blonde natural shade,,,Brown / dark blonde,high,7555,176,2
JUL,BLEACH,BLUE,lightener_bleach,Lightener / bleach,Lightener / bleach,Lightening product,,,,,"Lightening product used for blonding, highlights, balayage, or decolorizing",,,,high,7541.5,155,1
L'OREAL PROFESSIONNEL,COOL COVER,CC7,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,7,Blonde,0,Blonde natural shade,,,Brown / dark blonde,high,7416.5,196,3
L'OREAL PROFESSIONNEL,DIA LIGHT,9.31,hair_color_shade,Hair color shade,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,L'Oréal / international dot system,9,Very light blonde,31,Very light blonde with Gold + Ash / blue reflect,,,Blonde,high,7389.5,247,6
L'OREAL PROFESSIONNEL,DIA LIGHT,10.02,mixer_corrector,Mixer / corrector / clear,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,,,,,"Direct tone, corrective additive, clear, or mixer used to adjust a formula",,,,medium,7152.5,177,5
L'OREAL PROFESSIONNEL,NEW INOA,7.31,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,7,Blonde,31,Blonde with Gold + Ash / blue reflect,,,Brown / dark blonde,high,6982,211,2
L'OREAL PROFESSIONNEL,DIA COLOR,7,hair_color_shade,Hair color shade,L'Oréal Dia Color / Dia Richesse,Demi-permanent alkaline color,L'Oréal / international dot system,7,Blonde,0,Blonde natural shade,,,Brown / dark blonde,high,6967.5,202,5
L'OREAL PROFESSIONNEL,DIA RICHESSE,6.01,hair_color_shade,Hair color shade,L'Oréal Dia Color / Dia Richesse,Demi-permanent alkaline color,L'Oréal / international dot system,6,Dark blonde,01,Dark blonde with Natural + Ash / blue reflect,,,Brown / dark blonde,high,6926.5,228,5
L'OREAL PROFESSIONNEL,MAJIREL,5.0,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,5,Light brown,0,Light brown natural shade,,,Brown / dark blonde,high,6776.5,275,4
L'OREAL PROFESSIONNEL,DIA LIGHT,6,hair_color_shade,Hair color shade,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,L'Oréal / international dot system,6,Dark blonde,0,Dark blonde natural shade,,,Brown / dark blonde,high,6603.5,247,4
L'OREAL PROFESSIONNEL,NEW INOA,7.34,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,7,Blonde,34,Blonde with Gold + Copper reflect,,,Brown / dark blonde,high,6541.5,235,2
CORRECT +,BOOSTER,Straightening Treatment Booster,treatment_care,Treatment / care product,BOOSTER,Unknown / supporting product,,,,,"Care, treatment, smoothing, repair, or support product rather than a hair color shade",,,,high,6263,67,1
L'OREAL PROFESSIONNEL,MAJIREL FUNDA,7.11,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,7,Blonde,11,Blonde with Ash / blue + Ash / blue reflect,,,Brown / dark blonde,high,6233,271,5
L'OREAL PROFESSIONNEL,DIA LIGHT,9.02,hair_color_shade,Hair color shade,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,L'Oréal / international dot system,9,Very light blonde,02,Very light blonde with Natural + Iridescent / violet reflect,,,Blonde,high,6228,192,5
L'OREAL PROFESSIONNEL,NEW INOA,8.31,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,8,Light blonde,31,Light blonde with Gold + Ash / blue reflect,,,Blonde,high,6152,186,2
L'OREAL PROFESSIONNEL,NEW INOA,5,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,5,Light brown,0,Light brown natural shade,,,Brown / dark blonde,high,6100,194,4
L'OREAL PROFESSIONNEL,INOA DEVELOPERS,3%   10 Vol.,developer_oxidant,Developer / oxidant / cream peroxide,L'Oréal INOA,Permanent oil-based color,,,,,Oxidant / developer used to activate color or lightener,3,10,,high,6094.5,114,3
L'OREAL PROFESSIONNEL,DIA LIGHT,7.11,hair_color_shade,Hair color shade,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,L'Oréal / international dot system,7,Blonde,11,Blonde with Ash / blue + Ash / blue reflect,,,Brown / dark blonde,high,6029.5,200,4
L'OREAL PROFESSIONNEL,DIA COLOR,5.1,hair_color_shade,Hair color shade,L'Oréal Dia Color / Dia Richesse,Demi-permanent alkaline color,L'Oréal / international dot system,5,Light brown,1,Light brown with Ash / blue reflect,,,Brown / dark blonde,high,5964,194,4
L'OREAL PROFESSIONNEL,DIA LIGHT,10.32,mixer_corrector,Mixer / corrector / clear,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,,,,,"Direct tone, corrective additive, clear, or mixer used to adjust a formula",,,,medium,5873.5,159,4
L'OREAL PROFESSIONNEL,MAJIREL FUNDA,6.0,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,6,Dark blonde,0,Dark blonde natural shade,,,Brown / dark blonde,high,5613,203,4
L'OREAL PROFESSIONNEL,DIA LIGHT,9.12,hair_color_shade,Hair color shade,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,L'Oréal / international dot system,9,Very light blonde,12,Very light blonde with Ash / blue + Iridescent / violet reflect,,,Blonde,high,5419,186,6
L'OREAL PROFESSIONNEL,DIA LIGHT,7.13,hair_color_shade,Hair color shade,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,L'Oréal / international dot system,7,Blonde,13,Blonde with Ash / blue + Gold reflect,,,Brown / dark blonde,high,5296,178,5
L'OREAL PROFESSIONNEL,DIA LIGHT,6.11,hair_color_shade,Hair color shade,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,L'Oréal / international dot system,6,Dark blonde,11,Dark blonde with Ash / blue + Ash / blue reflect,,,Brown / dark blonde,high,5263.5,172,6
L'OREAL PROFESSIONNEL,DIA RICHESSE,8.13,hair_color_shade,Hair color shade,L'Oréal Dia Color / Dia Richesse,Demi-permanent alkaline color,L'Oréal / international dot system,8,Light blonde,13,Light blonde with Ash / blue + Gold reflect,,,Blonde,high,5144.5,159,6
L'OREAL PROFESSIONNEL,DIA LIGHT,10.01,mixer_corrector,Mixer / corrector / clear,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,,,,,"Direct tone, corrective additive, clear, or mixer used to adjust a formula",,,,medium,5121,169,6
L'OREAL PROFESSIONNEL,MAJIREL FUNDA,5.0,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,5,Light brown,0,Light brown natural shade,,,Brown / dark blonde,high,5112.5,168,4
L'OREAL PROFESSIONNEL,NEW INOA,6.34,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,6,Dark blonde,34,Dark blonde with Gold + Copper reflect,,,Brown / dark blonde,high,5076,202,2
L'OREAL PROFESSIONNEL,DIA LIGHT,9.01,hair_color_shade,Hair color shade,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,L'Oréal / international dot system,9,Very light blonde,01,Very light blonde with Natural + Ash / blue reflect,,,Blonde,high,5037.5,157,6
L'OREAL PROFESSIONNEL,DIA LIGHT,7.31,hair_color_shade,Hair color shade,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,L'Oréal / international dot system,7,Blonde,31,Blonde with Gold + Ash / blue reflect,,,Brown / dark blonde,high,5013,209,6
L'OREAL PROFESSIONNEL,COOL COVER,CC7.18,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,7,Blonde,18,Blonde with Ash / blue + Mocha reflect,,,Brown / dark blonde,high,4820,181,3
L'OREAL PROFESSIONNEL,MAJIREL,3,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,3,Dark brown,0,Dark brown natural shade,,,Dark brown / black,high,4731.5,124,4
SCHWARZKOPF,IGORA ROYAL DEVELOPERS,6%   20 Vol.,developer_oxidant,Developer / oxidant / cream peroxide,Schwarzkopf Professional,Professional color / lightener family,,,,,Standard developer for grey coverage and 1-2 levels of lift,6,20,,high,4716.5,82,3
SCHWARZKOPF,IGORA ROYAL,9-0,hair_color_shade,Hair color shade,Schwarzkopf Professional,Professional color / lightener family,Schwarzkopf / IGORA,9,Very light blonde,0,Very light blonde natural shade,,,Blonde,high,4678,142,1
L'OREAL PROFESSIONNEL,DIA LIGHT,8.34,hair_color_shade,Hair color shade,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,L'Oréal / international dot system,8,Light blonde,34,Light blonde with Gold + Copper reflect,,,Blonde,high,4603.5,215,3
L'OREAL PROFESSIONNEL,COOL COVER,CC9.11,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,9,Very light blonde,11,Very light blonde with Ash / blue + Ash / blue reflect,,,Blonde,high,4489,197,6
L'OREAL PROFESSIONNEL,NEW INOA,5.1,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,5,Light brown,1,Light brown with Ash / blue reflect,,,Brown / dark blonde,high,4459,154,5
L'OREAL PROFESSIONNEL,MAJIREL,8,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,8,Light blonde,0,Light blonde natural shade,,,Blonde,high,4414,133,4
L'OREAL PROFESSIONNEL,NEW INOA,1,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,1,Black,0,Black natural shade,,,Dark brown / black,high,4397.5,73,4
L'OREAL PROFESSIONNEL,NEW INOA,5.0,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,5,Light brown,0,Light brown natural shade,,,Brown / dark blonde,high,4367.5,116,2
L'OREAL PROFESSIONNEL,NEW INOA,7.1,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,7,Blonde,1,Blonde with Ash / blue reflect,,,Brown / dark blonde,high,4347.5,148,5
YUDIVA NATURAL,ORGANIC,Botanica,treatment_care,Treatment / care product,ORGANIC,Unknown / supporting product,,,,,"Care, treatment, smoothing, repair, or support product rather than a hair color shade",,,,high,4284,33,1
